a	b	c	d	m	residual_chi	residual_chibar	floor	note
-1	-1	0	-1	0	0.000000e+00	0.000000e+00	0.000000e+00	T-periodicity (built in)
-155	46	-1951	579	1	1.140414e-11	1.902113e+00	8.732705e-53	scrambled=1.17e+00
-168	31	-1951	360	1	2.342857e-12	2.342857e-12	3.759313e-53	scrambled=6.47e-01
-182	157	-1951	1683	1	2.695890e-12	1.902113e+00	5.148134e-53	scrambled=1.26e+00
-367	280	-3902	2977	2	4.092948e-11	1.902113e+00	6.308876e-25	scrambled=8.66e-01
-190	41	-1951	421	1	7.020779e-12	1.175571e+00	7.939847e-53	scrambled=1.00e+00
-204	55	-1951	526	1	8.694339e-12	8.694339e-12	4.098792e-52	scrambled=1.68e+00
-208	79	-1951	741	1	1.442008e-11	1.902113e+00	6.827560e-53	scrambled=8.04e-01
-222	85	-1951	747	1	5.182046e-12	1.175571e+00	3.470285e-53	scrambled=8.51e-01
-226	49	-1951	423	1	2.876989e-12	1.902113e+00	5.393222e-53	scrambled=9.56e-01
-232	127	-1951	1068	1	1.252320e-10	1.902113e+00	3.763426e-52	scrambled=4.72e-01
-235	96	-1951	797	1	7.052234e-12	7.052234e-12	6.499630e-53	scrambled=1.81e+00
-995	759	-7804	5953	4	7.472479e-11	7.472479e-11	9.530516e-11	
-748	177	-5853	1385	3	1.799550e-11	1.175571e+00	1.594600e-15	
-752	549	-5853	4273	3	8.801014e-11	8.801014e-11	3.655316e-15	
-507	293	-3902	2255	2	1.413591e-10	1.175571e+00	1.118748e-24	
-256	95	-1951	724	1	2.542396e-12	1.175571e+00	7.698804e-53	
-263	55	-1951	408	1	1.151964e-12	1.902113e+00	3.842311e-53	
-265	196	-1951	1443	1	1.528438e-11	1.902113e+00	5.224078e-53	
-535	443	-3902	3231	2	8.591516e-11	1.175571e+00	8.382041e-25	
-2145	1682	-15608	12239	8	1.620367e-08	1.175571e+00	2.485152e-03	
-806	191	-5853	1387	3	1.106714e-11	1.175571e+00	1.628378e-15	
-541	207	-3902	1493	2	5.482583e-11	5.482583e-11	8.315936e-25	
-286	157	-1951	1071	1	1.838762e-11	1.838762e-11	8.425297e-53	
-577	219	-3902	1481	2	3.439388e-11	1.902113e+00	9.646401e-25	
-1739	674	-11706	4537	6	7.676440e-11	1.902113e+00	4.221340e-06	
-1451	841	-9755	5654	5	7.707742e-11	1.902113e+00	9.090855e-08	
-291	247	-1951	1656	1	5.240585e-11	5.240585e-11	9.549519e-53	
-1175	494	-7804	3281	4	5.679814e-11	1.902113e+00	9.952978e-11	
-2059	1261	-13657	8364	7	9.383943e-10	1.902113e+00	1.250004e-04	
-295	251	-1951	1660	1	1.265510e-11	1.265510e-11	4.994715e-53	
-593	412	-3902	2711	2	1.059777e-10	1.059777e-10	1.174754e-24	
-298	181	-1951	1185	1	1.652099e-11	1.175571e+00	1.655373e-52	
-302	239	-1951	1544	1	6.070498e-12	6.070498e-12	7.861523e-53	
-304	79	-1951	507	1	3.255059e-12	1.175571e+00	4.208072e-53	
-611	189	-3902	1207	2	1.739744e-11	1.175571e+00	4.667523e-25	
-307	169	-1951	1074	1	3.118468e-11	1.175571e+00	1.059846e-52	
-310	201	-1951	1265	1	7.573739e-12	7.573739e-12	5.725994e-53	
-3418	1015	-21461	6373	11	8.466394e-07	1.902113e+00	2.288728e-01	
-1865	806	-11706	5059	6	3.919884e-10	1.175571e+00	1.044463e-05	
-1867	1441	-11706	9035	6	1.115774e-09	1.902113e+00	1.398352e-05	
-314	75	-1951	466	1	3.369207e-12	1.175571e+00	7.853794e-53	
-631	136	-3902	841	2	6.670238e-12	1.175571e+00	8.213760e-25	
-319	69	-1951	422	1	2.051022e-11	1.175571e+00	6.903371e-53	
-334	63	-1951	368	1	2.935613e-12	1.175571e+00	7.186055e-53	
-335	176	-1951	1025	1	5.621087e-12	1.902113e+00	4.740906e-53	
