a	b	c	d	m	residual_chi	residual_chibar	floor	note
-1	-1	0	-1	0	0.000000e+00	0.000000e+00	0.000000e+00	T-periodicity (built in)
-156	29	-2141	398	1	8.493953e-11	8.493953e-11	1.789481e-47	scrambled=1.42e+00
-172	105	-2141	1307	1	1.304632e-11	1.304632e-11	6.313100e-48	scrambled=1.26e+00
-190	41	-2141	462	1	9.971379e-13	1.902113e+00	4.530122e-48	scrambled=1.01e+00
-200	61	-2141	653	1	7.667173e-12	7.667173e-12	4.383878e-48	scrambled=1.50e+00
-208	133	-2141	1369	1	2.028129e-12	1.902113e+00	3.631136e-48	scrambled=1.45e+00
-220	41	-2141	399	1	4.602868e-12	1.902113e+00	5.176325e-48	scrambled=1.23e+00
-222	59	-2141	569	1	3.186057e-12	1.175571e+00	8.177939e-48	scrambled=1.96e+00
-228	41	-2141	385	1	3.734913e-12	1.902113e+00	3.268746e-48	scrambled=1.02e+00
-231	41	-2141	380	1	2.374361e-12	1.175571e+00	3.229029e-48	scrambled=1.69e+00
-246	155	-2141	1349	1	7.371996e-12	1.175571e+00	4.428163e-48	scrambled=1.89e+00
-248	109	-2141	941	1	2.316523e-12	1.902113e+00	3.935252e-48	scrambled=1.30e+00
-509	366	-4282	3079	2	4.537521e-11	1.902113e+00	4.939423e-22	
-511	108	-4282	905	2	6.162811e-11	1.902113e+00	1.140937e-21	
-258	191	-2141	1585	1	6.242130e-11	1.175571e+00	1.259376e-47	
-260	81	-2141	667	1	1.603895e-11	1.175571e+00	2.872112e-47	
-272	101	-2141	795	1	1.214001e-11	1.214001e-11	1.877134e-47	
-276	173	-2141	1342	1	3.086210e-11	3.086210e-11	9.526062e-48	
-277	48	-2141	371	1	3.011310e-11	1.175571e+00	1.249212e-47	
-280	181	-2141	1384	1	1.000908e-10	1.902113e+00	8.713782e-48	
-282	179	-2141	1359	1	9.783246e-12	1.175571e+00	8.748616e-48	
-290	81	-2141	598	1	9.470884e-12	1.902113e+00	8.036623e-48	
-589	163	-4282	1185	2	4.723220e-11	1.175571e+00	1.873392e-22	
-296	133	-2141	962	1	2.830014e-11	1.902113e+00	4.946357e-48	
-625	168	-4282	1151	2	2.216307e-11	1.902113e+00	2.141952e-22	
-941	350	-6423	2389	3	1.267233e-10	1.902113e+00	1.168335e-13	
-316	89	-2141	603	1	1.937708e-11	1.902113e+00	7.403821e-48	
-318	101	-2141	680	1	2.585722e-11	2.585722e-11	9.585593e-48	
-320	181	-2141	1211	1	1.496053e-11	1.175571e+00	3.373610e-48	
-324	125	-2141	826	1	1.841513e-12	1.902113e+00	3.407600e-48	
-325	211	-2141	1390	1	1.076268e-11	1.175571e+00	4.108536e-48	
-327	95	-2141	622	1	8.348452e-12	1.175571e+00	3.690330e-48	
-332	205	-2141	1322	1	4.018916e-12	1.175571e+00	4.467797e-48	
-671	422	-4282	2693	2	1.695915e-10	1.902113e+00	7.014589e-22	
-336	293	-2141	1867	1	2.486370e-10	1.902113e+00	1.544599e-47	
-673	251	-4282	1597	2	2.133308e-10	1.902113e+00	1.489039e-21	
-340	101	-2141	636	1	1.709177e-11	1.902113e+00	9.831866e-48	
-343	62	-2141	387	1	1.839232e-12	1.902113e+00	3.452393e-48	
-1034	373	-6423	2317	3	5.911913e-11	1.175571e+00	6.284370e-14	
-348	197	-2141	1212	1	2.816005e-12	1.175571e+00	3.217222e-48	
-365	216	-2141	1267	1	3.746220e-11	3.746220e-11	7.064124e-48	
-737	279	-4282	1621	2	1.733262e-10	1.902113e+00	1.075662e-21	
-370	281	-2141	1626	1	1.993849e-11	1.993849e-11	8.985336e-48	
-374	305	-2141	1746	1	2.405318e-11	2.405318e-11	7.343129e-48	
